Órgão,Microregiao
Procon Municipal de Adamantina,Adamantina
Procon Municipal de Aguaí,Pirassununga
Procon Municipal de Águas da Prata,São João da Boa Vista
Procon Municipal de Agudos,Bauru
Procon Municipal de Altinópolis,Batatais
Procon Municipal de Americana,Campinas
Procon Municipal de Amparo,Amparo
Procon Municipal de Andradina,Andradina
Procon Municipal de Aparecida,Guaratinguetá
Procon Municipal de Apiaí,Capão Bonito
Procon Municipal de Araçariguama,Sorocaba
Procon Municipal de Araçatuba,Araçatuba
Procon Municipal de Araçoiaba da Serra,Sorocaba
Procon Municipal de Araraquara ,Araraquara
Procon Municipal de Araras,Limeira
Procon Municipal de Artur Nogueira,Moji Mirim
Procon Municipal de Assis,Assis
Procon Municipal de Atibaia,Bragança Paulista
Procon Municipal de Avaré,Avaré
Procon Municipal de Bady Bassitt,São José do Rio Preto
Procon Municipal de Bariri,Jaú
Procon Municipal de Barra Bonita,Jaú
Procon Municipal de Barretos,Barretos
Procon Municipal de Barrinha,Ribeirão Preto
Procon Municipal de Barueri,Osasco
Procon Municipal de Bastos,Tupã
Procon Municipal de Batatais,Batatais
Procon Municipal de Bauru,Bauru
Procon Municipal de Bebedouro,Jaboticabal
Procon Municipal de Bertioga,Santos
Procon Municipal de Birigui,Birigui
Procon Municipal de Boituva,Tatuí
Procon Municipal de Bom Jesus dos Perdões,Bragança Paulista
Procon Municipal de Botucatu,Botucatu
Procon Municipal de Bragança Paulista,Bragança Paulista
Procon Municipal de Cabreúva,Sorocaba
Procon Municipal de Caçapava,São José dos Campos
Procon Municipal de Cachoeira Paulista,Guaratinguetá
Procon Municipal de Caieiras,Franco da Rocha
Procon Municipal de Cajamar,Osasco
Procon Municipal de Cajati,Registro
Procon Municipal de Cajobi,Catanduva
Procon Municipal de Cajuru,Batatais
Procon Municipal Campinas,Campinas
Procon Municipal de Campo Limpo Paulista,Jundiaí
Procon Municipal de Campos do Jordão,Campos do Jordão
Procon Municipal de Cândido Mota,Assis
Procon Municipal de Capão Bonito,Capão Bonito
Procon Municipal de Capivari,Piracicaba
Procon Municipal de Caraguatatuba,Caraguatatuba
Procon Municipal de Carapicuíba,Osasco
Procon Municipal de Casa Branca,São João da Boa Vista
Procon Municipal de Catanduva,Catanduva
Procon Municipal de Cedral,São José do Rio Preto
Procon Municipal de Cerqueira César,Avaré
Procon Municipal de Cerquilho,Tatuí
Procon Municipal de Colina,Barretos
Procon Municipal de Cordeirópolis,Limeira
Procon Municipal de Cosmópolis,Campinas
Procon Municipal de Cotia,Itapecerica da Serra
Procon Municipal de  Cravinhos,Ribeirão Preto
Procon Municipal de Cruzeiro,Guaratinguetá
Procon Municipal de Cubatão,Santos
Procon Municipal de Cunha,Paraibuna/Paraitinga
Procon Municipal de Descalvado,São Carlos
Procon Municipal de Diadema,São Paulo
Procon Municipal de Dois Córregos,Jaú
Procon Municipal de Dracena,Dracena
Procon Municipal de Dumont,Ribeirão Preto
Procon Municipal de Embu das Artes,Itapecerica da Serra
Procon Municipal de Embu Guaçu,Itapecerica da Serra
Procon Municipal de Engenheiro Coelho,Moji Mirim
Procon Municipal de Espírito Santo do Pinhal,São João da Boa Vista
Procon Municipal de Euclides da Cunha Paulista,Presidente Prudente
Procon Municipal de Fartura,Ourinhos
Procon Municipal de Fernandópolis,Fernandópolis
Procon Municipal de Ferraz de Vasconcelos,Mogi das Cruzes
Procon Municipal de Flórida Paulista,Adamantina
Procon Municipal de Franca,Franca
Procon Municipal de Francisco Morato,Franco da Rocha
Procon Municipal de Franco da Rocha,Franco da Rocha
Procon Municipal de Garça,Marília
Procon Municipal de Guaíra,São Joaquim da Barra
Procon Municipal de Guará,Ituverava
Procon Municipal de Guararapes,Araçatuba
Procon Municipal de Guaratinguetá,Guaratinguetá
Procon Municipal de Guariba,Jaboticabal
Procon Municipal de Guarujá,Santos
Procon Municipal de Guarulhos,Guarulhos
Procon Municipal de Ibitinga,Araraquara
Procon Municipal de Ibiúna,Piedade
Procon Municipal de Igarapava,Ituverava
Procon Municipal de Ilha Solteira,Andradina
Procon Municipal de Ilhabela,Caraguatatuba
Procon Municipal de Indaiatuba,Campinas
Procon Municipal de Inúbia Paulista,Adamantina
Procon Municipal de Ipaussu,Ourinhos
Procon Municipal de Iperó,Sorocaba
Procon Municipal de Iracemápolis,Limeira
Procon Municipal de  Itanhaém,Itanhaém
Procon Municipal de Itapecerica da Serra,Itapecerica da Serra
Procon Municipal de Itapetininga,Itapetininga
Procon Municipal de Itapeva,Itapeva
Procon Municipal de Itapevi,Osasco
Procon Municipal de Itapira,Moji Mirim
Procon Municipal de  Itápolis,Araraquara
Procon Municipal de Itapuí,Jaú
Procon Municipal de Itaquaquecetuba,Mogi das Cruzes
Procon Municipal de Itararé,Itapeva
Procon Municipal de Itatiba,Bragança Paulista
Procon Municipal de Itatinga,Avaré
Procon Municipal de Itu,Sorocaba
Procon Municipal Itupeva,Jundiaí
Procon Municipal de Ituverava,Ituverava
Procon Municipal de Jaborandi,São Joaquim da Barra
Procon Municipal de Jaboticabal,Jaboticabal
Procon Municipal de Jacareí,São José dos Campos
Procon Municipal de Jaguariúna,Campinas
Procon Municipal de Jales,Jales
Procon Municipal de Jandira ,Osasco
Procon Municipal de Jardinópolis,Ribeirão Preto
Procon Municipal de Jarinu ,Bragança Paulista
Procon Municipal de Jaú,Jaú
Procon Municipal de Jundiaí,Jundiaí
Procon Municipal de Junqueirópolis,Dracena
 Procon Municipal de Juquiá,Registro
Procon Municipal de Leme,Limeira
Procon Municipal de Lençóis Paulista,Bauru
Procon Municipal de Limeira,Limeira
Procon Municipal de Lins,Lins
Procon Municipal de Lorena,Guaratinguetá
Procon Municipal de Louveira,Jundiaí
Procon Municipal de Lucélia,Adamantina
Procon Municipal de Luiz Antônio,Ribeirão Preto
Procon Municipal de Macatuba,Jaú
Procon Municipal de Mairinque,Sorocaba
Procon Municipal de Marília,Marília
Procon Municipal de Matão,Araraquara
Procon Municipal de Mauá,São Paulo
Procon Municipal de Miguelópolis,São Joaquim da Barra
Procon Municipal de Mirandópolis,Andradina
Procon Municipal de Mirassol,São José do Rio Preto
Procon Municipal de Mococa,São João da Boa Vista
Procon Municipal de Mogi das Cruzes,Mogi das Cruzes
Procon Municipal de Mogi Guaçu,Moji Mirim
Procon Municipal de Mogi Mirim,Moji Mirim
Procon Municipal de Mongaguá ,Itanhaém
Procon Municipal de Monte Alto,Jaboticabal
Procon Municipal de Monte Aprazível ,Nhandeara
Procon Municipal de Monte Mor,Campinas
Procon Municipal de Morro Agudo,São Joaquim da Barra
Procon Municipal de Nova Odessa,Campinas
Procon Municipal de Olímpia,São José do Rio Preto
 Procon Municipal de Orlândia,São Joaquim da Barra
Procon Municipal de Osasco,Osasco
Procon Municipal de Osvaldo Cruz,Adamantina
 Procon Municipal de Ourinhos,Ourinhos
 Procon Municipal de Palmital,Assis
Procon Municipal de Paulínia,Campinas
Procon Municipal de Paraguaçu Paulista,Assis
Procon Municipal de Paraibuna,Paraibuna/Paraitinga
